Title,Description,Labels
[EPIC] E1 — Monorepo & Temel Altyapı,See claude_code_plan.json (epic E1),epic
[TASK] E1-T1 — Monorepo iskeleti,Parent Epic: E1,task
E1-T1-1 — Turborepo init ve ortak config,"Parent Task: E1-T1

Acceptance Criteria:
- `pnpm i && pnpm -w build` tüm paketleri derler
- Pre-commit lint/format hatada commit’i engeller
- packages/shared içeriği web & backend tarafından import edilir

Test Steps:
- Lint ihlaliyle commit dene → engellenmeli
- shared içine bir type ekle; web/backend’te derlenmeli",todo
E1-T1-2 — Ortam değişkeni şablonları,"Parent Task: E1-T1

Acceptance Criteria:
- Yeni geliştirici .env.example ile projeyi ayağa kaldırabilir
- .env git’e girmez
- Yerel çalışma dokümantasyonu net

Test Steps:
- Temiz makinede kurulum yap; dev ortamı çalışmalı
- `git add .env` dene → dahil edilmemeli",todo
[TASK] E1-T2 — CI/CD boru hattı,Parent Epic: E1,task
E1-T2-1 — Build/Test/Lint workflows,"Parent Task: E1-T2

Acceptance Criteria:
- PR açılınca CI tetiklenir
- Başarısız adım PR üzerinde görünür
- Cache ile ardışık buildler %30+ hızlı

Test Steps:
- Bilerek lint hatasıyla PR aç → kırılmalı
- İki ardışık build süresi karşılaştır",todo
E1-T2-2 — Backend container & staging deploy,"Parent Task: E1-T2

Acceptance Criteria:
- Docker image lokal çalışır
- Main merge sonrası staging URL /healthz 200
- Rollback adımı dokümante

Test Steps:
- Yerelde build/run ve /healthz testi
- Staging’e deploy sonrası /healthz 200 doğrula",todo
[TASK] E1-T3 — Yerel geliştirme orkestrasyonu,Parent Epic: E1,task
E1-T3-1 — docker-compose ile DB/Redis/MinIO,"Parent Task: E1-T3

Acceptance Criteria:
- `docker compose up` sonrası tüm servisler sağlıklı
- Migrasyonlar tamamlanır
- MinIO paneli erişilebilir

Test Steps:
- `curl /healthz` 200
- DB tabloları listelenir
- MinIO upload/download çalışır",todo
[EPIC] E2 — Kimlik & Hesap Yönetimi,See claude_code_plan.json (epic E2),epic
[TASK] E2-T1 — Auth akışları,Parent Epic: E2,task
E2-T1-1 — Signup + e-posta doğrulama,"Parent Task: E2-T1

Acceptance Criteria:
- Doğrulanmamış kullanıcı korumalı sayfalara erişemez
- Zayıf şifrelere izin verilmez
- Onboarding tamamlandığında bayrak güncellenir

Test Steps:
- Doğrulamadan korumalı route 401
- Zayıf şifre reddi",todo
E2-T1-2 — Session yenileme ve logout,"Parent Task: E2-T1

Acceptance Criteria:
- Session süresi dolunca sessiz yenileme yapılır
- Tüm cihazlardan çıkış tetiklenebilir
- Idle timeout süresinde yeniden giriş istenir

Test Steps:
- Refresh token iptal edilip istek 401
- Global logout sonrası 401",todo
[TASK] E2-T2 — Rol & yetkilendirme,Parent Epic: E2,task
E2-T2-1 — RBAC guard middleware,"Parent Task: E2-T2

Acceptance Criteria:
- Admin endpoint'lere sadece admin rolü erişir
- Yetkisiz erişimler 403 ve audit loglanır

Test Steps:
- User rolüyle 403
- Admin rolüyle 200",todo
[EPIC] E3 — Domain & Alias Servisi (E-posta),See claude_code_plan.json (epic E3),epic
[TASK] E3-T1 — DNS & SES Inbound kurulumu,Parent Epic: E3,task
"E3-T1-1 — MX, SPF, DKIM, DMARC kayıtlarını ekle","Parent Task: E3-T1

Acceptance Criteria:
- SES domain verified
- DKIM geçer, SPF Pass, DMARC aligned
- mail-tester skoru ≥ 9/10

Test Steps:
- Harici hesaptan alias domainine test mail
- SES loglarında SPF/DKIM/DMARC kontrol
- mail-tester doğrulama",todo
E3-T1-2 — Inbound rule-set ve hedef S3/R2,"Parent Task: E3-T1

Acceptance Criteria:
- Gelen e-postalar S3/R2'de prefix ile saklanır
- >25MB ek reddedilir/ parça politika dokümante

Test Steps:
- 1MB/20MB/30MB e-posta gönder ve doğrula
- S3 metadata'da Message-Id bulunur",todo
[TASK] E3-T2 — Alias API ve adres üretimi,Parent Epic: E3,task
E3-T2-1 — Alias oluştur/oku/sil endpointleri,"Parent Task: E3-T2

Acceptance Criteria:
- Aynı adres iki kullanıcıda oluşmaz (UNIQUE)
- Silinen alias'a mail düşmez

Test Steps:
- Arka arkaya alias (benzersiz)
- Silinen alias'a test mail → reddedilmeli",todo
[TASK] E3-T3 — Sağlık kontrolleri ve uyarılar,Parent Epic: E3,task
E3-T3-1 — MX/DKIM sağlık cron'u,"Parent Task: E3-T3

Acceptance Criteria:
- Kayıt değişince 5dk içinde uyarı
- Dashboard’da son doğrulama görünür

Test Steps:
- Yanlış DKIM CNAME simüle → uyarı",todo
[EPIC] E4 — E-posta Alım & Normalize Pipeline,See claude_code_plan.json (epic E4),epic
[TASK] E4-T1 — Lambda ingest,Parent Epic: E4,task
E4-T1-1 — Raw kaydet ve metadata üret,"Parent Task: E4-T1

Acceptance Criteria:
- Idempotency: aynı Message-Id ikinci kez işlenmez
- Eksik zorunlu header → karantina

Test Steps:
- Replay → ikinci işlenmemeli
- Subject'siz → karantina",todo
[TASK] E4-T2 — Inbound Webhook,Parent Epic: E4,task
E4-T2-1 — İmza doğrulama ve rate limit,"Parent Task: E4-T2

Acceptance Criteria:
- Yanlış imza 401
- Burst'te 429

Test Steps:
- Yanlış imza ile istek
- 1000/30s load test",todo
E4-T2-2 — Mesaj kaydı ve kuyruğa atma,"Parent Task: E4-T2

Acceptance Criteria:
- DB hata → kuyruk yok
- job id ↔ mesaj id eşleşir

Test Steps:
- DB arızası simülasyonu
- Başarılı durumda DB + kuyruk kayıt",todo
[TASK] E4-T3 — MIME parse & güvenlik,Parent Epic: E4,task
E4-T3-1 — Text/HTML çıkarımı ve sanitize,"Parent Task: E4-T3

Acceptance Criteria:
- XSS render edilmez
- UTF-8 dışı doğru görünür

Test Steps:
- XSS içeren mail test
- ISO-8859-9 görüntüleme",todo
E4-T3-2 — Ek tarama ve karantina,"Parent Task: E4-T3

Acceptance Criteria:
- Zararlı ek indirilemez
- Temiz ek indirilebilir

Test Steps:
- EICAR dosyası ile blok kontrol",todo
"[EPIC] E5 — Mesaj Depolama, Arama & Listeleme API’leri",See claude_code_plan.json (epic E5),epic
[TASK] E5-T1 — Listeleme ve filtreleme,Parent Epic: E5,task
E5-T1-1 — GET /v1/messages,"Parent Task: E5-T1

Acceptance Criteria:
- 10k mesajda P95 < 300ms
- Case-insensitive arama
- TR karakter desteği

Test Steps:
- Latency ölçümleri
- İ/ı/ş/Ş aramaları",todo
[TASK] E5-T2 — Mesaj detayı,Parent Epic: E5,task
E5-T2-1 — GET /v1/messages/:id,"Parent Task: E5-T2

Acceptance Criteria:
- Silinmiş 404
- Başkasının 403

Test Steps:
- 403 denemesi
- 404 denemesi",todo
[EPIC] E6 — Sınıflandırma & Olay Çıkarma (AI-lite),See claude_code_plan.json (epic E6),epic
[TASK] E6-T1 — Heuristik ve regex temelleri,Parent Epic: E6,task
E6-T1-1 — Kural tabanlı sınıflandırma,"Parent Task: E6-T1

Acceptance Criteria:
- Seed isabet ≥%80
- Low confidence → other

Test Steps:
- 100 örnek rapor
- Sınır vakaları incele",todo
[TASK] E6-T2 — Tarih/son-gün çıkarımı,Parent Epic: E6,task
E6-T2-1 — Deadline parser,"Parent Task: E6-T2

Acceptance Criteria:
- ±1 gün P95
- En alakalı tarihi seçer

Test Steps:
- 'Son gün yarın 23:59'
- 'Kargo yarın çıkar'",todo
[TASK] E6-T3 — Hafif ML sınıflandırıcı,Parent Epic: E6,task
E6-T3-1 — Model eğitim pipeline'ı,"Parent Task: E6-T3

Acceptance Criteria:
- Macro F1 ≥ 0.85
- Model versiyonu API'de

Test Steps:
- Baseline vs ML
- Rollback senaryosu",todo
[TASK] E6-T4 — Özetleyici (gated),Parent Epic: E6,task
E6-T4-1 — Uzunluk/önem eşiği + LLM,"Parent Task: E6-T4

Acceptance Criteria:
- LLM çağrı oranı ≤%15
- Özet ≤ 2 cümle

Test Steps:
- Kısa mailde çağrı yok
- Uzun+önemlide özet",todo
[TASK] E6-T5 — Event yazımı ve idempotency,Parent Epic: E6,task
E6-T5-1 — Event tekillik ve upsert,"Parent Task: E6-T5

Acceptance Criteria:
- Dupe yazım yok
- Audit güncelleme kaydı

Test Steps:
- İki kez işleme → tek kayıt
- Güncelleme akışı",todo
