Summary,Issue Type,Description,Labels,Epic Name
[EPIC] E1 — Monorepo & Temel Altyapı,Epic,See claude_code_plan-2.json (epic E1),epic,[EPIC] E1 — Monorepo & Temel Altyapı
[TASK] E1-T1 — Monorepo iskeleti,Story,Parent Epic: E1,task,
E1-T1-1 — Turborepo init ve ortak config,Sub-task,"Parent Task: E1-T1

Acceptance Criteria:
- `pnpm i && pnpm -w build` tüm paketleri derler
- Pre-commit lint/format hatada commit’i engeller
- packages/shared içeriği web & backend tarafından import edilir

Test Steps:
- Lint ihlaliyle commit dene → engellenmeli
- shared içine bir type ekle; web/backend’te derlenmeli",todo,
E1-T1-2 — Ortam değişkeni şablonları,Sub-task,"Parent Task: E1-T1

Acceptance Criteria:
- Yeni geliştirici .env.example ile projeyi ayağa kaldırabilir
- .env git’e girmez
- Yerel çalışma dokümantasyonu net

Test Steps:
- Temiz makinede kurulum yap; dev ortamı çalışmalı
- `git add .env` dene → dahil edilmemeli",todo,
[TASK] E1-T2 — CI/CD boru hattı,Story,Parent Epic: E1,task,
E1-T2-1 — Build/Test/Lint workflows,Sub-task,"Parent Task: E1-T2

Acceptance Criteria:
- PR açılınca CI tetiklenir
- Başarısız adım PR üzerinde görünür
- Cache ile ardışık buildler %30+ hızlı

Test Steps:
- Bilerek lint hatasıyla PR aç → kırılmalı
- İki ardışık build süresi karşılaştır",todo,
E1-T2-2 — Backend container & staging deploy,Sub-task,"Parent Task: E1-T2

Acceptance Criteria:
- Docker image lokal çalışır
- Main merge sonrası staging URL /healthz 200
- Rollback adımı dokümante

Test Steps:
- Yerelde build/run ve /healthz testi
- Staging’e deploy sonrası /healthz 200 doğrula",todo,
[TASK] E1-T3 — Yerel geliştirme orkestrasyonu,Story,Parent Epic: E1,task,
E1-T3-1 — docker-compose ile DB/Redis/MinIO,Sub-task,"Parent Task: E1-T3

Acceptance Criteria:
- `docker compose up` sonrası tüm servisler sağlıklı
- Migrasyonlar tamamlanır
- MinIO paneli erişilebilir

Test Steps:
- `curl /healthz` 200
- DB tabloları listelenir
- MinIO upload/download çalışır",todo,
[EPIC] E2 — Kimlik & Hesap Yönetimi,Epic,See claude_code_plan-2.json (epic E2),epic,[EPIC] E2 — Kimlik & Hesap Yönetimi
[TASK] E2-T1 — Auth akışları,Story,Parent Epic: E2,task,
